case_id,DSC_1,HD_1,HD95_1,ASSD_1,RVE_1,NSD_1,NLesions_1,MissedLesions_1
r049s011,0.0096,48.23,43.63,7.91,0.9952,0.003,5,4
r049s012,0.1632,81.47,75.13,17.91,0.9045,0.1385,3,2
r049s013,0.8967,34.07,2.12,0.67,0.0196,0.6801,3,1
r049s014,0.1213,31.07,27.82,11.89,0.3347,0.0618,2,1
r049s016,0.3007,43.08,40.68,8.71,0.7906,0.3306,2,1
r049s018,0.0,,,,1.0,,1,1
r049s020,0.0,36.43,35.4,29.16,0.9275,0.0,1,1
r049s021,0.3386,46.14,43.6,8.23,0.7962,0.3263,4,1
r049s023,0.8953,7.5,2.12,0.53,0.0742,0.6833,1,0
r049s024,0.3832,7.04,5.2,1.36,0.763,0.251,1,0
r049s025,0.1111,31.25,29.68,11.79,0.6789,0.0619,1,0
r049s026,0.5046,81.53,78.23,10.54,0.5045,0.4719,3,1
r049s028,0.7842,3.35,1.5,0.41,0.2293,0.7368,2,0
r049s029,0.0,,,,1.0,,11,11
r049s033,0.7231,22.6,20.31,2.15,0.4049,0.6378,2,1
r049s034,0.7179,33.87,31.45,3.99,0.3043,0.6882,3,1
r050s001,0.6154,1.84,1.3,0.4,0.5556,0.6,1,0
r050s002,0.1138,90.1,88.11,31.66,8.6779,0.1358,2,0
r050s003,0.0,66.36,65.07,41.16,0.0938,0.0,1,1
r050s005,0.6438,87.38,78.79,10.24,0.3371,0.4504,2,0
r050s006,0.0,,,,1.0,,1,1
r050s007,0.8566,6.77,2.25,0.64,0.1094,0.5994,2,0
r050s008,0.0,55.08,53.93,50.2,1.3852,0.0,1,1
r050s009,0.0,47.04,45.87,40.96,0.7424,0.0,1,1
r050s010,0.6522,1.84,1.3,0.42,0.5161,0.5949,1,0
r050s011,0.6303,18.6,15.3,2.58,0.0561,0.5794,4,0
r050s012,0.0,44.51,43.73,37.28,4.4688,0.0,1,1
r050s013,0.3015,48.1,46.48,16.3,0.566,0.2944,3,1
r050s014,0.6538,59.01,54.44,7.67,0.2222,0.5978,3,1
r050s015,0.2649,49.03,48.33,14.6,0.8295,0.274,4,2
r050s016,0.0,,,,1.0,,2,2
r052s001,0.3432,37.13,33.73,9.08,0.2489,0.4055,9,4
r052s002,0.806,18.79,3.74,1.04,0.3011,0.8402,1,0
r052s003,0.6073,40.36,29.43,4.48,0.4949,0.5691,6,4
r052s004,0.6271,40.16,34.58,5.4,0.5902,0.7119,2,0
r052s005,0.7595,36.37,32.26,2.97,0.0821,0.8169,2,1
r052s006,0.8847,10.82,3.0,0.67,0.0658,0.8464,2,0
r052s007,0.7166,88.19,84.5,13.47,0.419,0.7459,3,2
r052s008,0.9067,12.08,2.45,0.66,0.0446,0.844,1,0
r052s009,0.9251,10.63,3.16,0.72,0.0028,0.8307,2,0
r052s010,0.9289,34.07,4.12,0.95,0.0522,0.7911,2,1
r052s011,0.5002,36.8,12.45,3.76,0.2225,0.5754,6,1
r052s013,0.7267,2.24,1.41,0.42,0.2912,0.9179,2,0
r052s014,0.8974,9.85,3.61,0.81,0.0585,0.8049,1,0
r052s015,0.7208,23.35,17.87,2.57,0.2535,0.7751,2,0
r052s016,0.8854,12.73,1.41,0.47,0.0573,0.9403,1,0
r052s017,0.3089,88.56,75.02,22.52,0.3117,0.2852,9,4
r052s018,0.6461,12.37,7.08,1.11,0.4865,0.7265,2,1
r052s019,0.8104,13.15,4.24,1.0,0.0546,0.7886,5,3
r052s021,0.8698,48.39,4.12,2.29,0.0303,0.8575,3,1
r052s022,0.8815,12.0,3.61,0.85,0.1147,0.8068,2,0
r052s023,0.7481,7.35,2.45,0.53,0.2938,0.8529,1,0
r052s024,0.6717,17.58,8.6,1.65,0.4121,0.6152,2,1
r052s025,0.6876,29.09,20.1,3.13,0.0226,0.7106,3,1
r052s026,0.8336,14.7,6.78,1.77,0.3154,0.5854,1,0
r052s027,0.1837,46.16,43.23,16.34,0.3354,0.2575,2,1
r052s028,0.8191,40.42,2.0,1.13,0.1977,0.8902,1,0
r052s029,0.2805,20.12,16.18,4.01,3.4951,0.3855,2,0
r052s030,0.8504,4.12,2.0,0.57,0.2278,0.8641,1,0
r052s031,0.8065,50.54,12.04,1.64,0.1376,0.7696,7,2
r052s032,0.8121,11.05,4.9,1.02,0.2273,0.7699,2,0
r052s033,0.8926,30.07,2.83,0.76,0.007,0.8228,1,0
r052s034,0.2836,33.05,13.34,4.78,2.5705,0.4525,9,2
r053s016,1.0,,,,0.0,,0,0
r053s021,0.1061,63.83,60.7,20.73,0.9404,0.1688,7,6
r053s039,0.0,,,,1.0,,1,1
r053s042,0.0,,,,1.0,,1,1
r053s053,0.6114,8.83,4.51,1.02,0.3819,0.6776,1,0
r056s001,0.5948,12.52,9.45,1.67,0.8852,0.6348,1,0
r056s002,0.7361,2.25,1.43,0.38,0.6261,0.772,1,0
r056s003,0.7906,4.47,1.03,0.34,0.2448,0.878,3,0
r056s004,0.9078,77.84,1.43,0.61,0.152,0.8007,3,2
r056s005,0.7993,3.17,1.43,0.55,0.3967,0.8381,1,0
r056s006,0.8773,2.28,1.03,0.32,0.1573,0.8932,1,0
r056s007,0.7571,29.03,4.11,1.11,0.3562,0.6544,6,2
r056s008,0.8458,42.69,4.23,1.12,0.0253,0.603,1,0
r056s009,0.8205,7.2,2.04,0.52,0.0476,0.814,2,0
r056s010,0.9063,50.7,2.28,0.71,0.0344,0.7964,3,1
r056s012,0.7244,45.29,38.06,3.49,0.0225,0.7146,5,0
r056s014,0.9245,13.74,4.5,0.96,0.007,0.6902,4,2
r056s015,0.7917,10.75,2.05,0.52,0.112,0.7801,1,0
r056s016,0.8858,17.98,5.06,0.99,0.0452,0.7152,2,0
r056s017,0.6224,43.44,39.08,7.93,0.2528,0.5396,2,1
r057s021,0.6605,21.66,11.41,1.9,0.5015,0.5546,1,0
r057s028,0.8884,32.51,4.12,1.12,0.0683,0.8024,1,0
r057s039,0.8896,19.31,1.41,0.54,0.0567,0.9341,3,1
r057s040,0.9338,10.3,1.73,0.45,0.0453,0.9058,6,2
r057s041,0.9036,63.98,1.73,0.67,0.0119,0.9208,4,3
r057s042,0.9136,2.83,1.0,0.29,0.0838,0.9853,1,0
r057s043,0.9417,7.0,1.0,0.35,0.0131,0.9521,1,0
r057s044,0.2304,31.91,19.52,4.6,0.8603,0.283,5,2
r057s045,0.9385,12.41,2.24,0.54,0.0018,0.8827,1,0
r057s046,0.9419,9.9,2.0,0.46,0.0237,0.9133,4,3
r057s047,0.0,,,,1.0,,1,1
r057s048,0.0925,29.02,22.56,5.55,19.1429,0.1893,2,0
r057s049,0.9118,3.0,1.0,0.24,0.0032,0.974,2,0
r057s050,0.6907,55.12,52.34,6.87,0.1884,0.7388,2,1
r058s032,0.3967,34.88,30.66,4.83,0.7407,0.4598,5,3
r058s033,0.0,59.54,57.66,36.67,2.0317,0.0,1,1
r058s034,0.6192,61.98,4.0,1.97,0.5458,0.4954,10,6
r058s035,0.7958,37.84,1.79,1.42,0.0756,0.8785,2,1
r058s036,0.232,51.59,49.85,18.35,2.6838,0.3309,1,0
r058s037,0.7772,51.67,8.65,1.82,0.138,0.504,10,7
r058s038,0.0928,43.37,40.75,19.97,0.015,0.1422,5,4
r058s039,0.8082,14.24,4.8,1.12,0.1382,0.6513,7,2
r058s040,0.8207,6.93,3.3,1.02,0.3214,0.6147,3,2
r058s041,0.8036,65.88,40.37,5.1,0.0459,0.6656,5,4
r058s042,0.9067,1.6,0.8,0.25,0.0557,0.9804,1,0
r058s043,0.0919,27.84,24.55,14.93,1.2362,0.1331,4,3
r058s044,0.6141,20.0,4.31,1.42,0.725,0.5627,6,2
r058s045,0.9367,1.39,0.8,0.15,0.0485,0.9953,1,0
r058s046,0.6081,62.35,53.32,7.45,0.5147,0.521,5,3
r058s047,0.8639,10.79,4.38,1.02,0.0607,0.6677,2,1
r058s048,0.0,,,,1.0,,1,1
r058s049,0.8319,48.93,4.93,1.37,0.0137,0.5935,1,0
r058s050,0.768,32.92,3.3,1.47,0.4746,0.4565,2,1
r058s051,0.0,,,,1.0,,2,2
r058s052,0.8159,64.65,29.7,4.0,0.1369,0.832,9,6
r058s053,0.5312,53.08,9.9,2.87,1.2513,0.418,2,0
r058s054,0.7691,42.85,7.42,2.12,0.2344,0.4609,5,3
r058s055,0.8147,67.03,61.02,3.43,0.0625,0.9151,3,1
r058s056,0.6591,36.31,23.32,3.48,0.41,0.4261,14,13
r058s057,0.8495,70.66,2.4,1.68,0.0452,0.858,9,7
r058s058,0.2181,34.52,17.87,6.33,1.9327,0.2921,4,3
r058s059,0.6762,72.33,26.13,6.14,0.1529,0.5721,10,4
r058s060,0.7167,70.08,54.13,6.9,0.3804,0.5749,34,29
r058s061,0.7676,7.5,3.39,1.01,0.2967,0.6385,5,0
r058s062,0.8638,18.15,2.26,0.78,0.2128,0.791,7,3
r058s063,0.751,32.09,4.0,1.33,0.1011,0.5625,4,3
r058s064,0.8201,2.99,1.13,0.36,0.0817,0.9304,2,0
r058s065,0.6024,58.62,33.65,5.32,0.141,0.5778,4,1
r058s066,0.8425,2.99,0.83,0.26,0.0487,0.9499,3,0
r059s001,0.8404,6.08,2.24,0.57,0.0421,0.8716,2,0
r059s002,0.8872,83.93,4.12,1.05,0.0969,0.7883,5,4
r059s003,0.8593,7.07,1.41,0.48,0.22,0.9191,3,0
r059s004,0.7,10.86,4.24,0.93,0.3022,0.7981,1,0
r059s005,0.737,11.79,4.95,0.87,0.3043,0.7901,6,1
r059s006,0.6563,3.0,2.24,0.7,1.0268,0.7692,1,0
r059s007,0.8366,18.97,7.0,1.67,0.1101,0.6203,5,0
r059s008,0.9357,15.68,3.61,0.88,0.0942,0.7958,2,0
r059s009,0.836,2.24,1.0,0.32,0.0455,0.9665,2,0
r059s010,0.9096,11.58,2.24,0.59,0.0176,0.8743,3,1
r059s012,0.3188,28.2,5.2,2.27,0.1555,0.3828,7,1
r059s014,0.8351,5.0,2.0,0.53,0.0158,0.8885,1,0
r059s015,0.9017,20.35,4.12,1.03,0.1208,0.7476,1,0
r059s016,0.8437,73.36,7.14,2.67,0.0162,0.725,3,2
r059s017,0.621,11.4,9.27,1.58,0.5035,0.6404,1,0
r059s018,0.6428,23.85,11.79,2.25,0.1123,0.6312,2,0
r059s019,0.7408,5.39,2.83,0.78,0.3827,0.7261,2,0
r059s020,0.7586,38.07,35.82,3.18,0.3408,0.8624,2,1
r059s021,0.2364,20.15,16.4,4.38,3.7291,0.375,3,0
r059s022,0.8349,12.08,3.0,0.8,0.1042,0.7818,1,0
r059s023,0.7006,52.67,49.32,4.72,0.2405,0.8477,2,1
r059s024,0.8487,17.12,4.9,0.85,0.1213,0.8277,2,0
r059s025,0.4666,31.03,15.62,6.68,0.0718,0.491,6,4
r059s026,0.1637,38.09,31.64,8.84,0.8823,0.2201,9,5
r059s028,0.4207,72.78,68.57,11.47,0.6081,0.5089,7,4
r059s029,0.627,37.85,18.18,3.02,0.4792,0.6207,7,6
r059s030,0.9517,84.14,2.45,0.94,0.0507,0.8537,3,2
r059s031,0.6169,59.94,10.82,4.06,0.9806,0.4753,9,8
r059s032,0.7762,46.44,21.62,3.08,0.008,0.8589,4,2
r059s033,0.891,39.13,6.4,1.06,0.1409,0.8616,4,2
r059s034,0.7332,32.95,21.27,2.19,0.2886,0.7607,12,8
r059s035,0.0,72.01,70.95,54.17,0.2875,0.0,3,3
r059s036,0.3844,58.6,41.14,10.34,0.4364,0.4554,20,15
r059s037,0.6103,49.28,42.28,5.87,0.5125,0.64,12,9
r059s038,0.7496,54.01,44.41,3.05,0.3403,0.773,5,4
r059s039,0.7196,23.41,9.43,2.01,0.3742,0.548,3,2
r059s040,0.7338,33.63,14.56,1.62,0.3869,0.7565,6,3
r059s041,0.4771,43.85,39.42,7.35,0.6075,0.4965,14,10
r061s001,0.8933,65.4,1.0,0.56,0.057,0.9635,2,1
r061s002,0.9033,3.61,1.0,0.24,0.0903,0.9918,1,0
r061s003,0.8441,72.81,35.16,3.45,0.1755,0.7682,5,4
r061s004,0.8403,29.7,3.58,0.93,0.0952,0.891,5,4
r061s005,0.818,22.34,6.71,1.17,0.0992,0.8058,4,2
r061s006,0.0144,31.0,30.37,12.13,0.9928,0.042,2,1
r061s007,0.9073,7.35,1.41,0.39,0.1237,0.9248,1,0
r061s008,0.8818,10.63,1.73,0.49,0.0449,0.9091,2,1
r061s009,0.8902,16.49,3.0,0.72,0.1147,0.816,1,0
r061s010,0.8453,33.3,1.0,1.07,0.0769,0.9513,2,1
r061s011,0.4936,41.88,37.49,6.27,0.611,0.5908,8,2
r061s012,0.8445,16.12,2.24,0.63,0.0402,0.8668,2,0
r061s013,0.8554,17.0,5.2,1.1,0.1528,0.7945,1,0
r061s014,0.4656,27.75,21.99,4.25,0.5802,0.542,3,2
r061s015,0.4749,74.46,71.12,19.36,0.5136,0.4016,5,2
r062s006,0.5422,16.88,9.64,2.13,1.5149,0.6312,3,1
r062s007,0.8135,15.56,5.92,1.41,0.2745,0.6719,1,0
r062s009,0.8966,77.7,2.0,1.14,0.1546,0.901,7,5
r062s010,0.867,36.67,1.0,0.8,0.1502,0.979,2,1
r062s011,0.8412,4.0,1.41,0.45,0.2823,0.9313,2,0
r062s012,0.8215,54.27,37.74,3.65,0.3143,0.8221,2,1
r062s013,0.0,111.99,110.35,99.16,6.2538,0.0,1,1
r062s014,0.8775,2.0,1.0,0.2,0.1537,0.9933,1,0
r063s053,0.6661,41.44,9.9,2.29,0.4627,0.4958,1,0
r064s003,0.7952,50.31,23.25,2.56,0.062,0.7346,10,7
r064s006,0.2196,21.05,16.4,3.92,0.8678,0.2863,3,1
r064s007,0.2004,49.16,46.31,14.94,0.8647,0.1999,4,3
r064s008,0.9434,16.43,2.24,0.56,0.0039,0.8902,1,0
r064s009,0.8244,18.49,7.07,1.44,0.102,0.6921,4,1
r064s012,0.5917,55.81,52.07,5.46,0.3886,0.6654,3,2
r065s002,1.0,,,,0.0,,0,0
r065s003,0.2133,55.97,55.06,15.67,1.2337,0.1743,3,2
r065s005,0.0,,,,1.0,,1,1
r065s006,0.0,72.73,70.73,65.63,0.1775,0.0,2,2
r065s008,0.437,41.05,34.07,9.36,0.0051,0.3815,2,1
r065s009,0.0,85.15,56.86,49.12,0.0823,0.0,2,2
r065s011,0.795,30.04,13.31,1.72,0.3814,0.7616,3,2
r065s012,0.8093,39.0,3.0,1.02,0.2559,0.8146,10,3
r065s013,0.5258,17.59,7.5,1.78,1.6003,0.4632,5,0
r065s014,0.7852,9.64,2.06,0.64,0.4436,0.8111,2,0
r065s015,0.8849,47.9,2.24,1.05,0.0918,0.9154,8,4
r065s016,0.0,54.57,51.57,39.99,0.0894,0.0,4,4
r065s017,0.0,,,,1.0,,1,1
r065s018,0.0,,,,1.0,,3,3
r065s019,0.0196,106.12,70.48,15.39,0.9739,0.0587,4,3
r065s020,0.3178,36.1,17.05,4.35,0.4,0.5438,4,2
r065s021,0.8543,10.25,4.72,1.7,0.2354,0.437,1,0
r065s023,0.82,9.39,4.42,0.92,0.4304,0.7046,1,0
r067s017,0.4085,22.81,16.63,4.02,0.6579,0.408,2,0
r067s018,0.4976,31.74,23.46,7.12,0.0628,0.4476,3,1
r067s019,0.0874,80.13,73.67,30.68,0.91,0.0921,11,10
r067s020,0.1165,125.38,117.43,24.3,0.9346,0.0985,8,7
r067s021,0.0319,46.33,40.5,15.83,0.9611,0.0586,6,5
r067s022,0.4224,50.04,34.66,9.47,0.7176,0.4297,8,7
r067s023,0.0,66.85,62.35,49.91,2.6564,0.0,11,11
r067s024,0.9241,20.36,7.7,1.49,0.0826,0.6611,1,0
r067s025,0.6339,17.51,11.34,2.15,0.8363,0.609,2,0
r067s026,0.8686,55.48,3.68,0.93,0.0838,0.8384,5,3
r067s027,0.4476,53.75,7.18,2.18,0.9217,0.4781,2,0
r067s028,0.8197,16.1,6.75,2.06,0.3247,0.4858,3,2
r067s029,0.6233,40.27,12.89,2.78,0.1492,0.5115,3,1
r067s030,0.9211,5.37,1.4,0.46,0.0094,0.9221,1,0
r067s031,0.0233,44.42,32.96,10.03,0.9836,0.0677,3,1
r067s032,0.4683,28.94,19.8,4.78,0.6796,0.3314,1,0
r067s033,0.8757,14.87,3.91,0.8,0.0982,0.8306,2,0
r067s034,0.7262,11.76,5.26,1.37,0.394,0.6505,1,0
r067s035,0.0048,88.88,65.88,54.75,0.9927,0.0132,4,3
r067s036,0.5743,37.04,20.69,3.87,0.5898,0.3149,4,3
r067s037,0.4957,44.18,11.85,3.45,0.6346,0.3821,3,1
r067s038,0.5144,75.35,16.89,3.35,0.0679,0.4355,6,1
r067s039,0.1517,41.65,35.92,10.82,0.7326,0.1892,5,3
r067s040,0.424,53.06,41.87,15.1,0.3306,0.4372,3,2
r067s041,0.6644,57.44,38.55,8.26,0.0845,0.4893,2,1
r067s042,0.6733,21.1,11.14,2.14,0.4644,0.5504,3,1
r067s043,0.5191,64.34,34.02,4.86,0.6042,0.4438,3,2
r069s001,0.8002,11.87,4.23,0.84,0.2396,0.7041,2,1
r069s002,0.585,15.33,7.19,2.21,0.7284,0.3883,2,0
r069s003,0.4175,56.83,54.2,19.29,0.6811,0.4523,5,3
r069s004,0.813,24.37,6.03,1.52,0.1281,0.6037,2,1
r069s005,0.7747,59.73,4.11,2.28,0.0052,0.7225,4,3
r069s006,0.0746,44.8,41.33,19.9,0.7873,0.1071,2,1
r069s007,0.5335,50.15,36.54,9.18,0.4794,0.4219,6,4
r069s008,0.8462,41.06,36.01,4.41,0.036,0.7874,4,3
r069s009,0.8906,15.43,2.25,0.83,0.1583,0.7056,2,1
r069s010,0.7903,23.21,3.06,1.02,0.2074,0.7391,6,2
r069s011,0.765,9.62,5.09,1.04,0.2187,0.6345,1,0
r069s012,0.448,44.81,42.71,10.23,0.2296,0.5141,2,0
r069s013,0.8147,19.11,13.23,2.27,0.213,0.5913,1,0
r069s014,0.3573,56.66,48.92,10.63,0.7801,0.2818,4,2
r069s015,0.7623,35.44,25.39,3.61,0.3574,0.5446,4,2
r069s016,0.8317,41.86,5.01,1.92,0.2204,0.5822,2,0
r069s017,0.4929,51.18,15.64,3.13,0.6713,0.3323,5,3
r069s019,0.5226,61.08,12.23,5.61,0.6382,0.1461,2,1
